"year" "title" "gross" "budget" "leng" "score" "profit"
2010 "Youth in Revolt" 15.281286 18 90 66 -2.718714
2010 "Daybreakers" 30.101577 20 98 67 10.101577
2010 "Leap Year" 25.91892 19 97 21 6.91892
2009 "Sherlock Holmes" 209.028679 90 134 70 119.028679
2009 "It's Complicated" 112.735375 85 118 57 27.735375
2009 "Nine" 19.676965 80 110 37 -60.323035
2009 "Alvin and the Chipmunk: The Squeakuel" 219.614612 70 88 21 149.614612
2009 "Avatar" 760.507625 237 160 83 523.507625
2009 "Did You Hear About the Morgans?" 29.580087 58 103 12 -28.419913
2009 "The Princess and the Frog" 104.400899 105 95 84 -0.599101000000005
2009 "Invictus" 37.491364 49 132 76 -11.508636
2009 "Everybody's Fine" 9.208876 20 95 46 -10.791124
2009 "Brothers" 28.544157 26 110 62 2.544157
2009 "Armored" 15.988876 20 88 41 -4.011124
2009 "Ninja Assassin" 38.122883 50 99 26 -11.877117
2009 "Old Dogs" 49.49206 35 88 5 14.49206
2009 "Planet 51" 42.19406 60 91 21 -17.80594
2009 "The Twilight Saga: New Moon" 296.623634 50 130 28 246.623634
2009 "The Blind Side" 255.959475 35 126 66 220.959475
2009 "2012" 166.112167 200 158 39 -33.887833
2009 "The Men Who Star at Goats" 32.428195 24 90 51 8.428195
2009 "The Box" 15.051977 25 116 45 -9.948023
2009 "Disney's a Christmas Carol" 137.855863 190 96 54 -52.144137
2009 "The Fourth Kind" 25.48604 10 98 19 15.48604
2009 "Michael Jackson's This Is It" 72.091016 60 121 81 12.091016
2009 "Cirque Du Freak: The Vampire's Assistant" 13.869515 40 108 38 -26.130485
2009 "Saw VI" 27.693292 11 120 37 16.693292
2009 "Astro Boy" 19.551067 65 94 49 -45.448933
2009 "Where the Wild Things Are" 77.233467 100 94 72 -22.766533
2009 "The Stepfather" 29.062561 20 101 11 9.062561
2009 "Law Abiding Citizen" 73.357727 53 108 25 20.357727
2009 "Couples Retreat" 109.204945 60 107 11 49.204945
2009 "Zombieland" 75.590286 23.6 81 90 51.990286
2009 "The Invention of Lying" 18.451251 18.5 100 58 -0.0487490000000008
2009 "Whip It!" 13.043363 15 111 84 -1.956637
2009 "Fame" 22.45551 18 107 25 4.45551
2009 "Surrogates" 38.577772 80 89 39 -41.422228
2009 "Pandorum" 10.330853 40 108 28 -29.669147
2009 "Jennifer's Body" 16.204793 16 102 42 0.204792999999999
